LAMMPS (22 Jul 2025 - Update 3)
Reading data file ...
  orthogonal box = (0 0 0) to (40 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  read_data CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.9059763
  ghost atom cutoff = 7.9059763
  binsize = 3.9529882, bins = 11 11 11
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cubic, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0001
Per MPI rank memory allocation (min/avg/max) = 3.08 | 3.08 | 3.08 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     19000   472.12424     -5.4265514      0              25.025846      707.1547     
     19200   474.44122     -5.5759985      0              25.025846      694.49997    
     19400   474.04368     -5.5503561      0              25.025846      699.02107    
     19600   472.5647      -5.4549606      0              25.025846      710.54733    
     19800   470.646       -5.331203       0              25.025846      725.00715    
     20000   469.71926     -5.2714272      0              25.025846      733.35573    
     20200   470.9018      -5.3477025      0              25.025846      729.03685    
     20400   472.14849     -5.4281155      0              25.025846      723.958      
     20600   472.42135     -5.4457149      0              25.025846      725.31339    
     20800   470.82852     -5.3429762      0              25.025846      737.98134    
     21000   469.38991     -5.2501841      0              25.025847      748.47965    
     21200   472.56104     -5.4547249      0              25.025846      729.94645    
     21400   477.34535     -5.7633168      0              25.025846      700.72671    
     21600   481.44231     -6.027574       0              25.025846      676.06611    
     21800   483.35399     -6.1508791      0              25.025846      666.57751    
     22000   482.1083      -6.0705313      0              25.025846      679.1513     
     22200   475.64356     -5.6535501      0              25.025846      724.87789    
     22400   468.02038     -5.1618484      0              25.025846      777.60243    
     22600   464.54257     -4.937527       0              25.025846      804.06905    
     22800   464.37715     -4.9268575      0              25.025846      808.2479     
     23000   466.35963     -5.054729       0              25.025846      797.92299    
     23200   467.65783     -5.1384637      0              25.025846      789.62652    
     23400   469.0582      -5.2287893      0              25.025846      779.29133    
     23600   469.38746     -5.2500263      0              25.025846      774.24859    
     23800   469.10569     -5.231852       0              25.025846      772.08992    
     24000   470.53664     -5.3241496      0              25.025846      758.30602    
     24200   472.93192     -5.4786469      0              25.025846      737.88079    
     24400   474.59282     -5.5857763      0              25.025846      720.97908    
     24600   477.42046     -5.7681612      0              25.025846      696.65747    
     24800   479.81929     -5.922888       0              25.025846      675.96395    
     25000   478.76958     -5.8551805      0              25.025846      677.73892    
     25200   476.57481     -5.7136163      0              25.025846      688.27596    
     25400   474.60006     -5.5862431      0              25.025846      698.44262    
     25600   472.19105     -5.4308603      0              25.025846      710.80285    
     25800   469.16243     -5.2355113      0              25.025846      725.35541    
     26000   468.52238     -5.1942277      0              25.025846      723.9298     
     26200   469.86715     -5.2809669      0              25.025846      709.52454    
     26400   469.85267     -5.2800329      0              25.025846      703.5451     
     26600   468.77433     -5.2104792      0              25.025846      705.14422    
     26800   468.09504     -5.1666639      0              25.025846      704.80808    
     27000   469.74419     -5.2730358      0              25.025846      690.23946    
     27200   470.47637     -5.3202619      0              25.025846      681.18073    
     27400   470.7365      -5.3370406      0              25.025846      676.09356    
     27600   471.07534     -5.358896       0              25.025846      671.71623    
     27800   470.05001     -5.2927621      0              25.025846      676.71097    
     28000   465.42546     -4.9944739      0              25.025846      703.40669    
     28200   462.39241     -4.7988398      0              25.025846      721.1654     
     28400   461.58327     -4.7466495      0              25.025846      725.24764    
     28600   462.11625     -4.7810273      0              25.025846      720.1319     
     28800   464.2354      -4.9177143      0              25.025846      704.91714    
     29000   466.68956     -5.0760096      0              25.025846      687.27237    
     29200   468.6753      -5.2040916      0              25.025846      673.27536    
     29400   469.78646     -5.2757626      0              25.025846      665.14301    
     29600   469.31497     -5.2453504      0              25.025846      666.65214    
     29800   468.95691     -5.2222555      0              25.025846      667.0225     
     30000   470.94486     -5.35048        0              25.025846      652.50102    
     30200   473.91018     -5.5417457      0              25.025846      631.71158    
     30400   475.66205     -5.6547423      0              25.025846      619.09792    
     30600   476.33876     -5.698391       0              25.025846      614.1196     
     30800   475.88812     -5.6693238      0              25.025846      616.52157    
     31000   474.6276      -5.5880191      0              25.025846      623.7418     
     31200   474.02732     -5.5493011      0              25.025846      627.0479     
     31400   474.4281      -5.5751514      0              25.025846      625.29287    
     31600   474.3863      -5.5724555      0              25.025846      626.99806    
     31800   473.29949     -5.5023555      0              25.025846      636.62855    
     32000   470.30787     -5.3093939      0              25.025846      659.08631    
     32200   465.82393     -5.0201757      0              25.025847      689.38094    
     32400   464.24981     -4.9186433      0              25.025847      700.58648    
     32600   467.32941     -5.1172808      0              25.025846      682.34315    
     32800   469.35387     -5.2478602      0              25.025846      669.59519    
     33000   467.73999     -5.1437634      0              25.025846      679.14567    
     33200   465.23005     -4.9818696      0              25.025846      694.64486    
     33400   464.57855     -4.9398482      0              25.025846      700.55376    
     33600   461.66771     -4.7520964      0              25.025846      719.70288    
     33800   458.18812     -4.5276598      0              25.025846      741.33596    
     34000   455.91424     -4.3809924      0              25.025846      754.36692    
     34200   456.55748     -4.4224817      0              25.025846      748.47315    
     34400   460.89128     -4.7020162      0              25.025846      720.1431     
     34600   464.414       -4.9292347      0              25.025846      697.10435    
     34800   465.10958     -4.9740997      0              25.025846      692.52501    
     35000   463.32684     -4.8591112      0              25.025846      703.69662    
     35200   462.6998      -4.8186664      0              25.025847      707.71809    
     35400   465.93891     -5.0275921      0              25.025846      688.36013    
     35600   468.5725      -5.1974608      0              25.025846      673.52234    
     35800   467.72037     -5.1424975      0              25.025846      680.41371    
     36000   465.22801     -4.9817378      0              25.025846      697.04126    
     36200   464.47615     -4.9332422      0              25.025847      702.32993    
     36400   466.36559     -5.0551133      0              25.025846      690.26365    
     36600   468.59449     -5.1988793      0              25.025846      674.56357    
     36800   469.35642     -5.2480245      0              25.025846      666.7635     
     37000   469.37683     -5.2493404      0              25.025847      663.24437    
     37200   471.71465     -5.4001315      0              25.025846      646.26236    
     37400   474.85814     -5.6028897      0              25.025846      625.77023    
     37600   475.97203     -5.6747368      0              25.025846      619.13238    
     37800   473.97667     -5.5460342      0              25.025846      633.17464    
     38000   469.96924     -5.2875515      0              25.025846      660.99573    
     38200   467.96499     -5.1582754      0              25.025847      676.95899    
     38400   471.15127     -5.3637931      0              25.025846      661.40781    
     38600   474.92652     -5.6073006      0              25.025846      642.526      
     38800   476.13122     -5.6850043      0              25.025846      639.89522    
     39000   475.51151     -5.6450327      0              25.025846      649.8261     
     39200   473.48389     -5.5142495      0              25.025846      669.45718    
     39400   471.7466      -5.4021922      0              25.025847      687.47987    
     39600   471.95903     -5.4158947      0              25.025846      693.06789    
     39800   473.33343     -5.5045443      0              25.025846      690.17896    
     40000   474.10371     -5.5542282      0              25.025846      690.7272     
     40200   473.04915     -5.4862079      0              25.025846      701.98587    
     40400   471.76536     -5.4034031      0              25.025846      714.11926    
     40600   469.01633     -5.2260881      0              25.025846      734.27884    
     40800   467.75087     -5.1444654      0              25.025846      745.25642    
     41000   465.12264     -4.9749422      0              25.025846      762.76215    
     41200   464.07544     -4.9073967      0              25.025846      769.0323     
     41400   465.30942     -4.9869896      0              25.025846      759.58548    
     41600   468.41552     -5.1873352      0              25.025846      737.53772    
     41800   472.9845      -5.4820386      0              25.025846      707.08954    
     42000   477.55362     -5.7767509      0              25.025846      677.88962    
     42200   477.15262     -5.7508856      0              25.025846      679.93805    
     42400   474.37166     -5.5715111      0              25.025846      698.18622    
     42600   472.90307     -5.4767857      0              25.025846      709.46445    
     42800   472.26495     -5.435627       0              25.025846      716.6501     
     43000   471.62084     -5.3940817      0              25.025846      723.96164    
     43200   470.53083     -5.323774       0              25.025847      733.49771    
     43400   473.10339     -5.4897077      0              25.025845      721.74566    
     43600   471.76424     -5.4033308      0              25.025846      733.36115    
     43800   468.1801      -5.1721504      0              25.025846      758.4024     
     44000   467.26404     -5.1130637      0              25.025847      766.48791    
     44200   470.38816     -5.3145723      0              25.025846      748.96751    
     44400   472.74212     -5.4664049      0              25.025846      735.43738    
     44600   471.72434     -5.4007576      0              25.025846      742.56551    
     44800   467.92563     -5.1557376      0              25.025846      767.19789    
     45000   463.06503     -4.8422243      0              25.025846      797.96417    
     45200   462.19993     -4.7864247      0              25.025846      803.37458    
     45400   466.21309     -5.045277       0              25.025846      777.72263    
     45600   470.48287     -5.3206815      0              25.025846      749.70484    
     45800   471.62134     -5.3941136      0              25.025846      740.10206    
     46000   471.10366     -5.3607226      0              25.025846      741.12628    
     46200   471.02066     -5.355369       0              25.025846      740.72964    
     46400   470.15472     -5.2995154      0              25.025846      746.62517    
     46600   467.05193     -5.0993831      0              25.025846      766.94537    
     46800   463.139       -4.8469953      0              25.025846      792.12286    
     47000   460.67044     -4.6877716      0              25.025846      806.65901    
     47200   461.32645     -4.7300844      0              25.025846      799.41136    
     47400   466.2043      -5.0447099      0              25.025846      763.59959    
     47600   472.15742     -5.4286911      0              25.025846      719.78962    
     47800   475.41385     -5.6387337      0              25.025846      692.47222    
     48000   475.00873     -5.6126035      0              25.025846      688.51637    
     48200   474.13164     -5.5560294      0              25.025846      689.03985    
     48400   476.23729     -5.6918471      0              25.025845      674.70298    
     48600   473.85166     -5.5379712      0              25.025846      688.78789    
     48800   470.62392     -5.3297795      0              25.025846      709.73109    
     49000   466.9673      -5.0939241      0              25.025846      733.22629    
     49200   464.04276     -4.905289       0              25.025846      751.54646    
     49400   462.18512     -4.7854698      0              25.025846      762.56473    
     49600   462.37391     -4.7976461      0              25.025847      760.19961    
     49800   466.80798     -5.0836476      0              25.025846      731.06066    
     50000   472.20317     -5.4316424      0              25.025846      694.94196    
     50200   474.80764     -5.5996323      0              25.025846      675.46834    
     50400   475.10647     -5.6189073      0              25.025846      670.37401    
     50600   475.98448     -5.675539       0              25.025846      663.65179    
     50800   477.93125     -5.8011079      0              25.025846      652.47389    
     51000   478.63176     -5.8462911      0              25.025846      650.33687    
     51200   477.01613     -5.7420814      0              25.025846      663.57196    
     51400   474.28987     -5.5662355      0              25.025846      684.39695    
     51600   471.14732     -5.3635391      0              25.025846      707.66885    
     51800   468.28576     -5.1789653      0              25.025847      727.77699    
     52000   470.37904     -5.3139838      0              25.025846      716.4402     
     52200   473.57917     -5.5203952      0              25.025846      697.50002    
     52400   473.26393     -5.5000617      0              25.025846      698.91287    
     52600   472.22047     -5.4327573      0              25.025846      705.02522    
     52800   472.85603     -5.4737517      0              25.025846      700.25678    
     53000   473.34172     -5.5050792      0              25.025846      696.29931    
     53200   472.4431      -5.4471176      0              25.025846      700.26764    
     53400   471.88796     -5.4113103      0              25.025846      700.99594    
     53600   473.71493     -5.5291511      0              25.025846      685.58956    
     53800   477.49386     -5.772896       0              25.025846      657.36419    
     54000   480.59826     -5.9731323      0              25.025846      633.7202     
     54200   481.41031     -6.0255099      0              25.025846      624.49727    
     54400   480.64204     -5.9759556      0              25.025846      627.18039    
     54600   478.92772     -5.865381       0              25.025846      638.43944    
     54800   476.69352     -5.721273       0              25.025846      655.10549    
