[1777823123.437582] [cn13:720425:0]          parser.c:1906 UCX  WARN  unused env variable: UCX_ROOT (set UCX_WARN_UNUSED_ENV_VARS=n to suppress this warning)
LAMMPS (23 Jun 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0 -0 -0) to (200 200 200)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  923 atoms
  read_data CPU = 0.005 seconds
Reading eam/alloy potential file CuAgAu_Zhou04.eam.alloy with DATE: 2018-03-30
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.4662927
  ghost atom cutoff = 8.4662927
  binsize = 4.2331463, bins = 48 48 48
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 4.708 | 4.708 | 4.709 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     16200   606.56095     -2601.3893      0             -2529.1007     -1.0740502    
     16400   596.08125     -2609.2911      0             -2538.2514     -3.1712484    
     16600   607.21092     -2613.1386      0             -2540.7725      3.0081341    
     16800   627.3729      -2606.9301      0             -2532.1612     -0.12077803   
     17000   606.63347     -2604.8658      0             -2532.5685     -1.6690754    
     17200   566.01937     -2607.3526      0             -2539.8957     -2.7747762    
     17400   609.00542     -2610.2699      0             -2537.6899      2.3113086    
     17600   589.85727     -2605.3314      0             -2535.0335      3.0340282    
     17800   578.54604     -2606.5977      0             -2537.6479      3.7569241    
     18000   608.78243     -2610.0801      0             -2537.5267     -0.87875032   
     18200   591.34806     -2605.0338      0             -2534.5582     -2.6927039    
     18400   577.94305     -2606.8512      0             -2537.9732      1.2406937    
     18600   595.54788     -2609.0539      0             -2538.0778     -7.8270014    
     18800   598.40594     -2607.991       0             -2536.6743     -0.051374995  
     19000   587.2541      -2608.1119      0             -2538.1242     -3.5335224    
     19200   606.53121     -2606.1271      0             -2533.842      -0.49464765   
     19400   630.4813      -2610.1383      0             -2534.9988     -5.0646546    
     19600   586.97806     -2610.9625      0             -2541.0078      3.531179     
     19800   594.62766     -2609.1962      0             -2538.3297     -3.7312415    
     20000   601.65249     -2604.877       0             -2533.1734      5.8160746    
     20200   603.45769     -2609.7562      0             -2537.8374     -10.735043    
     20400   590.93231     -2613.9403      0             -2543.5143      2.5764125    
     20600   605.44708     -2608.5969      0             -2536.441      -5.4255136    
     20800   606.93431     -2606.4919      0             -2534.1587     -0.80283021   
     21000   578.76975     -2610.6527      0             -2541.6762     -0.099867934  
     21200   592.13332     -2611.6392      0             -2541.07        1.0169754    
     21400   606.88237     -2607.7523      0             -2535.4253      0.29880373   
     21600   597.31239     -2609.4484      0             -2538.262      -1.8282678    
     21800   588.06363     -2614.6451      0             -2544.5609     -0.50958191   
     22000   608.92106     -2610.177       0             -2537.6071     -5.1394454    
     22200   617.90899     -2607.6616      0             -2534.0205     -4.1174337    
     22400   597.92201     -2612.0755      0             -2540.8165     -1.2510037    
     22600   582.25749     -2610.8662      0             -2541.474       0.40808254   
     22800   614.30214     -2609.5945      0             -2536.3833     -2.0786541    
     23000   598.06442     -2609.1435      0             -2537.8675      1.025655     
     23200   585.00699     -2611.6124      0             -2541.8925      0.97325684   
     23400   598.75551     -2610.2482      0             -2538.8898      2.0298759    
     23600   618.90374     -2609.1068      0             -2535.3472      1.4382375    
     23800   622.13496     -2615.1778      0             -2541.0331     -6.6455812    
     24000   558.84754     -2613.0469      0             -2546.4447      3.6620282    
     24200   610.7349      -2610.3452      0             -2537.5591      1.2862108    
     24400   595.44724     -2611.6894      0             -2540.7253     -0.62273989   
     24600   569.27415     -2616.8451      0             -2549.0003      4.631518     
     24800   565.76384     -2608.1529      0             -2540.7264     -1.7692059    
     25000   629.82152     -2610.1229      0             -2535.0621     -2.8957997    
     25200   577.56151     -2615.059       0             -2546.2264     -0.65328615   
     25400   576.95762     -2613.061       0             -2544.3004      0.76618642   
     25600   609.88757     -2606.0596      0             -2533.3745     -0.24151557   
     25800   601.10643     -2612.1677      0             -2540.5291     -0.39929949   
     26000   566.01628     -2616.6923      0             -2549.2357      3.2261139    
     26200   607.83779     -2609.9304      0             -2537.4896     -3.6237482    
     26400   624.10773     -2607.2683      0             -2532.8885      2.8216728    
     26600   585.09595     -2614.2363      0             -2544.5059     -0.30170428   
     26800   587.5432      -2613.1808      0             -2543.1587      4.3784763    
     27000   608.16255     -2606.9887      0             -2534.5092     -6.1652169    
     27200   611.02831     -2609.0877      0             -2536.2666      6.2826102    
     27400   573.31138     -2612.7729      0             -2544.4469     -7.2408869    
     27600   628.328       -2612.288       0             -2537.4052      6.2362273    
     27800   608.31697     -2612.059       0             -2539.5611     -2.2414192    
     28000   590.66701     -2613.3961      0             -2543.0017     -1.9253119    
     28200   616.39697     -2611.8193      0             -2538.3585     -2.7680396    
     28400   609.83601     -2607.1152      0             -2534.4362      0.73298398   
